Перцы Римская пицца Пепперони,"11,50363636","11,77454545","24,73636364","250,9090909",550,"63,27","64,76","136,05",1380
Перцы Пицца Каприччио,"12,05116279","15,41860465","24,91860465","286,744186",430,"51,82","66,3","107,15",1233
Перцы Пицца Четыре сыра с моцареллой Cыроварни FORMAGGI,"17,19705882","20,40882353","30,47058824","374,4117647",340,,,,
Перцы Пицца Цезарь,"16,03469388","17,12040816","22,5122449","308,3673469",490,,,,
Перцы Куриное филе,"17,615","15,825","14,145","269,5",200,,,,
Вкусно и точка Картофель фри средний,"3,545454545","14,54545455","37,27272727",300,110,,,,
Вкусно и точка 2 Сырных соуса,2,38,6,360,50,,,,
Вкусно и точка Липтон Зеленый средний,0,0,"6,75","26,75",400,,,,
Вкусно и точка Цезарь ролл,"9,004739336","10,42654028","22,74881517","223,6966825",211,,,,
Kannam Chicken Митболлы с Тофу и овощами,9,"4,2","28,4","187,7",300,,,,
Kannam Chicken Комбо Дабл ролл,"7,9","11,7","24,4","241,5",550,,,,
Цезарь ролл в лаваше,"13,33333333","4,761904762","11,42857143","141,2698413",315,42,15,36,445
Салат Греческий,"2,272727273","8,636363636","4,090909091","104,5454545",220,5,19,9,230
Картофельные дольки,3,"0,5",20,96,200,6,1,40,192
Соус томатный с чесночком,4,0,14,76,50,2,0,7,38
Люля-Кебаб куриный,"24,66666667","8,666666667","4,666666667",198,150,37,13,7,297
Стрипсы,21,10,11,219,180,,,,
Соус Кисло-сладкий,"0,5","0,1",44,180,50,,,,
Салат Чафан,"7,142857143","11,42857143","6,666666667","160,952381",210,15,24,14,338
Bellini Kitchen Паштет из красной рыбы,"11,21","21,83","1,9",249,200,,,,
Роща Цезарь с курицей,"14,09090909","9,545454545","6,818181818","169,5454545",220,31,21,15,373
